,url,product_name,brands,categories,categories_fr,labels,allergens_fr,traces_fr,additives_n,additives_fr,main_category_fr,image_small_url,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,butyric-acid_100g,caproic-acid_100g,caprylic-acid_100g,capric-acid_100g,lauric-acid_100g,myristic-acid_100g,palmitic-acid_100g,stearic-acid_100g,arachidic-acid_100g,behenic-acid_100g,lignoceric-acid_100g,cerotic-acid_100g,montanic-acid_100g,melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,alpha-linolenic-acid_100g,eicosapentaenoic-acid_100g,docosahexaenoic-acid_100g,omega-6-fat_100g,linoleic-acid_100g,arachidonic-acid_100g,gamma-linolenic-acid_100g,dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,oleic-acid_100g,elaidic-acid_100g,gondoic-acid_100g,mead-acid_100g,erucic-acid_100g,nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,sucrose_100g,glucose_100g,fructose_100g,lactose_100g,maltose_100g,maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g
7904,http://world-fr.openfoodfacts.org/produit/0011152817606/powdered-sushi-wasabi-hime,Powdered Sushi Wasabi,Hime,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7905,http://world-fr.openfoodfacts.org/produit/0011152851686/hapi-the-original-party-mixed-crackers-jfc-international-inc,"Hapi, The Original Party Mixed Crackers",Jfc International Inc.,,,,,,3.0,"E110 - Jaune orangé S,E150a - Caramel E150a,E160c - Extrait de paprika",,,1795.0,,10.71,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,75.0,7.14,,,,,,,,,3.6,7.14,,,,1.27,0.5,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0012900000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
7906,http://world-fr.openfoodfacts.org/produit/0011152851716/wasabi-coated-green-peas-hapi,Wasabi Coated Green Peas,Hapi,,,,,,1.0,E133 - Bleu brillant FCF,,https://static.openfoodfacts.org/images/products/001/115/285/1716/front_fr.5.200.jpg,1941.0,,14.29,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,64.29,14.29,,,,,,,,,3.6,14.29,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,0.071,,0.00386,,,,,,,,,,,,,,,,,,,,,,,,,,,
7907,http://world-fr.openfoodfacts.org/produit/0011152851747/pois-wasabi-hapi-140g-thailande-hapi-trading,Pois Wasabi HAPI 140G Thailande,Hapi trading,,,,,,1.0,E133 - Bleu brillant FCF,,https://static.openfoodfacts.org/images/products/001/115/285/1747/front_fr.5.200.jpg,1941.0,,14.29,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,64.29,14.0,,,,,,,,,0.0,14.0,,,,0.7721600000000001,0.304,,0.0,,,,,0.0,,,,,,,,,,,,,,0.071,,0.00386,,,,,,,,,,,,,,,,,,,,,,,,,,,
7908,http://world-fr.openfoodfacts.org/produit/0011152875538/seasoned-roasted-seaweed-jfc-international,Seasoned Roasted Seaweed,Jfc International,,,,,,0.0,,,,,,44.62,15.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24.62,0.0,,,,,,,,,1.5,21.54,,,,2.93878,1.157,,0.0010386,,,,,0.0462,,,,,,,,,,,,,,0.154,,0.00775,,,,,,,,,,,,,,,,,,,,,,,,,,,
7909,http://world-fr.openfoodfacts.org/produit/0011153013021/butter-foodtown,Butter,"Foodtown,  Foodtown  Inc.",,,,,,0.0,,,,2987.0,,78.57,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.214,0.0,,,,,,,,,,,0.0,,,,1.6332200000000001,0.643,,0.0008571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7910,http://world-fr.openfoodfacts.org/produit/0011153013304/butter-foodtown,Butter,Foodtown,,,,,,0.0,,,,2987.0,,78.57,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.214,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0008571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7911,http://world-fr.openfoodfacts.org/produit/0011153025017/mini-marshmallows-foodtown-inc,Mini Marshmallows,Foodtown  Inc.,,,,,,3.0,"E133 - Bleu brillant FCF,E428 - Gélatine,E450 - Sels métalliques de diphosphates,E450iii - Diphosphate tétrasodique",,,1255.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,76.67,60.0,,,,,,,,,0.0,3.33,,,,0.21081999999999998,0.083,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7912,http://world-fr.openfoodfacts.org/produit/0011153033067/soft-cream-cheese-foodtown,Soft Cream Cheese,"Foodtown,  Foodtown  Inc.",,,,,,1.0,E412 - Gomme de guar,,,1393.0,,33.33,23.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.11699999999999999,6.67,6.67,,,,,,,,,0.0,6.67,,,,0.889,0.35,,0.0003,,,,,0.0,,,,,,,,,,,,,,0.133,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7913,http://world-fr.openfoodfacts.org/produit/0011153033081/soft-cream-cheese-pasteurized-foodtown,"Soft Cream Cheese, Pasteurized","Foodtown,  Foodtown  Inc.",,,,,,1.0,E412 - Gomme de guar,,,1393.0,,33.33,23.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.11699999999999999,6.67,6.67,,,,,,,,,0.0,6.67,,,,0.889,0.35,,0.0003,,,,,0.0,,,,,,,,,,,,,,0.133,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
